MEM_NO,MEM_ID,MEM_NAME,MEM_PWD,MEM_TEL,MEM_EMAIL,MEM_ADDRESS,MEM_DETAIL_ADDRESS,MEM_ENROLLDATE,MEM_STATUS,MEM_DEL_DATE,MEM_DEL_DETAIL,MEM_ADS,MEM_BLOCK,MEM_REPORT
1,malddong,김말똥,pass01,012-6080-8282,aadh678@petnolja.com,"	서울특별시광진구아차산로78길 53(광장동, 동북아 스위트힐아파트)",907동 1002호,2019-10-08,Y,,,N,N,0
2,gesun,강개순,pass01,012-6080-8283,abns857@petnolja.com,"	서울특별시구로구신도림로 32(신도림동, 신도림5차 e-편한세상)",808동 907호,2020-05-04,Y,,,N,N,0
3,boram,강보람,pass01,012-6080-8284,abns858@petnolja.com,"	서울특별시종로구종로65길 12-4(숭인동, 탑스빌)",805동 508호,2020-10-31,Y,,,Y,N,0
4,tomato,김마토,pass01,012-6080-8285,abns859@petnolja.com,"	서울특별시서초구서운로9길 63(서초동, 동원베네스트아파트)",705동 401호,2020-10-20,Y,,,N,N,0
5,naldpark,박날드,pass01,012-6080-8286,abns860@petnolja.com,"	서울특별시동작구대방동길 10(대방동, 신대방타워)",405동 906호,2020-09-05,Y,,,Y,N,0
6,gegul,김개굴,pass01,012-6080-8287,abns861@petnolja.com,"	경기도 고양시 덕양구 중앙로633번길 26(토당동, 유일아파트)",101동 704호,2021-03-16,Y,,,Y,N,0
7,revipark,박정빈,pass01,012-6080-8288,abns862@petnolja.com,"	서울특별시서대문충정로 30(충정로3가, 충정아파트)",1007동 906호,2019-10-31,Y,,,Y,N,0
8,jinlee,주이진,pass01,012-6080-8289,abns863@petnolja.com,"	인천광역시서구 승학로 334(연희동, 중앙아파트)",205동 606호,2019-09-25,Y,,,N,N,0
9,kyung,최서경,pass01,012-6080-8290,abns864@petnolja.com,"	경기도 성남시 수정구 단대로23번길 32(단대동, 진로아파트)",109동 1001호,2021-02-03,Y,,,Y,N,0
10,yjqg3937,남은경,pass01,012-6080-8291,abns865@petnolja.com,"	경기도 수원시 권선구 호매실로166번길 10(호매실동, 호매실능실마을22단지)",607동 102호,2020-05-28,Y,,,Y,N,0
11,jaxu6304,홍윤화,pass01,012-6080-8292,akos250@petnolja.com,"	서울특별시용산구효창원로70길 18(효창동)",205동 709호,2020-10-22,Y,,,Y,N,0
12,geddong,김개똥,pass01,012-6080-8293,akzb871@petnolja.com,"	경기도 시흥시 신천로44번길 17(신천동, 동진아파트)",502동 704호,2020-04-07,Y,,,Y,N,0
13,azpr7028,송가선,pass01,012-6080-8294,alvq686@petnolja.com,"	서울특별시광진구자양로32길 16(구의동, 도성아파트)",602동 108호,2020-02-22,Y,,,N,N,0
14,afjo843,최서신,pass01,012-6080-8295,amep13@petnolja.com,"	서울특별시송파구올림픽로 99(잠실동, 잠실엘스)",405동 201호,2020-08-01,N,2020-09-15,테스트용으로 희생됨,N,N,0
15,mlfe353,백서민,pass01,012-4464-1428,atry189@petnolja.com,"	서울특별시강서구양천로14길 86-13(방화동, 태승훼미리2차아파트)",403동 709호,2021-02-11,Y,,,Y,N,0
16,gunc1382,염하송,pass01,012-9264-9840,audz146@petnolja.com,"	서울특별시서초구명달로6길 24(서초동, 래미안서초3차)",702동 908호,2019-06-03,Y,,,Y,N,0
17,nucd6389,문교재,pass01,012-9273-4391,avio979@petnolja.com,"	서울특별시서초구반포대로22길 54(서초동, JC라디앙)",805동 1001호,2019-01-02,Y,,,Y,N,0
18,jftk163,강도휘,pass01,012-3482-9939,avlt610@petnolja.com,"	인천광역시부평구장제로 49(부평동, 태강아파트빌)",602동 704호,2020-08-02,Y,,,Y,N,0
19,crkn3394,곽나한,pass01,012-5486-7607,avyh309@petnolja.com,"	서울특별시강남구압구정로77길 42(청담동, 청담진도빌라)",301동 206호,2020-01-11,Y,,,N,N,0
20,cjhh5640,진의욱,pass01,012-5619-3418,awlx532@petnolja.com,"	서울특별시강서구금낭화로 162(방화동, 방화메이빌아파트)",509동 708호,2020-07-13,Y,,,N,N,0
21,flua7620,임근향,pass01,012-2790-3161,axcj480@petnolja.com,"	서울특별시구로구고척로60길 30(고척동, 벽산베스트블루밍아파트)",402동 504호,2020-01-14,Y,,,Y,N,0
22,kocs119,편우호,pass01,012-9441-6960,azhc751@petnolja.com,"	경기도 성남시 분당구 성남대로 449(정자동, 로얄팰리스)",602동 305호,2020-09-21,Y,,,Y,N,0
23,vrhb4558,송규경,pass01,012-7220-9543,azmh857@petnolja.com,"	서울특별시강북구도봉로 261(수유동, 삼호아파트, 수유프라자)",909동 108호,2021-03-21,Y,,,Y,N,0
24,odbb2467,홍의운,pass01,012-7640-9772,azmt493@petnolja.com,"	경기도 부천시 신흥로16번길 27(심곡동, 삼융아파트 오피스텔)",607동 807호,2020-04-09,Y,,,Y,N,0
25,obav4367,양휘름,pass01,012-9479-2338,batb452@petnolja.com,"	서울특별시서초구반포대로18길 36(서초동, 서초센트럴IPARK)",104동 705호,2020-12-22,Y,,,Y,N,0
26,mtia411,백서승,pass01,012-7122-2815,bbxp254@petnolja.com,"	서울특별시서초구동광로24길 15-4(방배동, 방배 다움샤인힐)",405동 709호,2020-10-07,Y,,,Y,N,0
27,tdxs7051,손선비,pass01,012-3220-2160,bdix66@petnolja.com,"	서울특별시관악구대학7길 26(신림동, 관악아파트)",903동 305호,2019-09-24,Y,,,Y,N,0
28,ndnl6646,백예준,pass01,012-5624-3946,bedb429@petnolja.com,"	경기도 수원시 영통구 동수원로537번길 50(원천동, 아주아파트)",404동 405호,2020-04-10,Y,,,Y,N,0
29,ykvp8669,송기림,pass01,012-1267-4750,bluv93@petnolja.com,"	경기도 연천군 전곡읍 전영로11번길 2-10(동원아파트)",104동 809호,2020-05-25,Y,,,Y,N,0
30,svzn778,정선향,pass01,012-8540-2260,bmgw605@petnolja.com,"	경기도 고양시 일산동구 숲속마을로 68(풍동, 숲속마을6단지아파트)",204동 308호,2019-08-12,Y,,,Y,N,0
31,qbqr3884,오휘림,pass01,012-8489-8226,bnqm406@petnolja.com,"	인천광역시부평구백범로540번길 41(십정동, 천일아파트)",1009동 507호,2019-06-06,Y,,,Y,N,0
32,iwfa8460,조고비,pass01,012-5671-1287,bphd766@petnolja.com,"	서울특별시강동구천중로51길 97(명일동, 다성시티아파트)",503동 707호,2019-01-10,Y,,,Y,N,0
33,uoez5781,민지름,pass01,012-4620-8314,bqia110@petnolja.com,"	경기도 화성시 장안면 사랑길 13(산호아파트)",607동 803호,2020-08-10,Y,,,Y,N,0
34,nsxb5884,엄해기,pass01,012-3565-8062,bqmj451@petnolja.com,"	서울특별시강서구까치산로 166-10(화곡동, 진성아파트)",109동 906호,2019-05-12,Y,,,Y,N,0
35,kxmr4752,백해란,pass01,012-7195-6546,bucv450@petnolja.com,"	인천광역시계양구장제로933번길 10(방축동, 한성아파트)",708동 105호,2020-08-23,Y,,,Y,N,0
36,yzyi2754,배준온,pass01,012-8920-2376,bvnb40@petnolja.com,"	서울특별시서대문독립문로 10(영천동, 독립문삼호아파트)",508동 1001호,2020-06-07,Y,,,Y,N,0
37,ucim6318,신시온,pass01,012-8960-8120,bvno49@petnolja.com,"	인천광역시부평구주부토로75번길 32(부평동, 드림타운)",805동 407호,2019-03-20,Y,,,Y,N,0
